MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Líšina,Plzeň-jih,Líšině,"49.60360107,13.16476083"
Kotovice,Plzeň-jih,Kotovicích,"49.67211123,13.15452480"
Písařov,Šumperk,Písařově,"50.00498786,16.80156299"
Srby,Plzeň-jih,Srbech,"49.51904364,13.60333083"
Sedliště,Plzeň-jih,Sedlišti; Sedlištích,"49.52756873,13.63227386"
Vlčtejn,Plzeň-jih,Vlčtejně; Vlčtejnu,"49.61471462,13.49570225"
Smědčice,Rokycany,Smědčicích,"49.79197541,13.51513608"
Police,Šumperk,Polici,"49.81476440,16.99632423"
Nečín,Příbram,Nečíně,"49.69852278,14.23408348"
Nový Knín,Příbram,Novém Kníně,"49.78808340,14.29360893"
Čilá,Rokycany,Čilé,"49.96175224,13.74212199"
Obory,Příbram,Oborách,"49.68048120,14.21641633"
Ohrazenice,Příbram,Ohrazenici,"49.78712191,13.95976471"
Ouběnice,Příbram,Ouběnicích,"49.71772522,14.15988324"
Pečice,Příbram,Pečicích,"49.60049720,14.10552920"
Petrovice,Příbram,Petrovicích,"49.55434085,14.33740794"
Staré Město,Šumperk,Starém Městě; Starém Městu,"50.16175110,16.94740962"
Hněvošice,Opava,Hněvošicích,"50.00298426,18.00834270"
Pržno,Frýdek-Místek,Pržně,"49.61345909,18.36163890"
Jakartovice,Opava,Jakartovicích,"49.91509778,17.68405400"
Pleše,Jindřichův Hradec,Pleších,"49.19559476,14.82138319"
Újezdec,Jindřichův Hradec,Újezdci,"49.20759280,14.78475513"
Višňová,Jindřichův Hradec,Višňové,"49.21907240,14.84125325"
Záhoří,Jindřichův Hradec,Záhoří,"49.21292120,14.79838075"
Peč,Jindřichův Hradec,Peči,"49.05788528,15.39238464"
Březina,Jindřichův Hradec,Březině,"49.29060240,14.90968219"
Mokré Lazce,Opava,Mokrých Lazcích,"49.90460770,18.02958702"
Záblatí,Jindřichův Hradec,Záblatí,"49.10725236,14.68618064"
Kostelní Radouň,Jindřichův Hradec,Kostelní Radouni,"49.22547863,15.00874858"
Dvory nad Lužnicí,Jindřichův Hradec,Dvorech nad Lužnicí,"48.85278819,14.90053154"
Arneštovice,Pelhřimov,Arneštovicích,"49.53255363,15.11783470"
Oldřišov,Opava,Oldřišově,"49.99129049,17.96079421"
Píšť,Opava,Píšti,"49.97855608,18.19354844"
Křižanov,Písek,Křižanově,"49.39881380,14.37816571"
Sudice,Opava,Sudicích,"50.03152978,18.06845491"
Kojatín,Třebíč,Kojatíně,"49.24264725,16.01019213"
Velká Polom,Ostrava-město,Velké Polomi,"49.86358467,18.09335425"
Vítkov,Opava,Vítkově,"49.77444984,17.74945413"
Košetice,Pelhřimov,Košeticích,"49.55842605,15.11630647"
Chrastavec,Svitavy,Chrastavci,"49.61778742,16.50317869"
Jarošov,Svitavy,Jarošově,"49.82485161,16.16341703"
Kovčín,Klatovy,Kovčíně,"49.41592494,13.60664574"
Hamry,Klatovy,Hamrech,"49.21541630,13.16046579"
Koruna,Svitavy,Koruně,"49.84682858,16.71491542"
Lavičné,Svitavy,Lavičném,"49.64360845,16.46250997"
Zborovy,Klatovy,Zborovech,"49.38118985,13.51569030"
Litomyšl,Svitavy,Litomyšli,"49.87206438,16.31057647"
Malíkov,Svitavy,Malíkově,"49.73097284,16.69522155"
Maňovice,Klatovy,Maňovicích,"49.39305360,13.65386983"
Slatina,Klatovy,Slatině,"49.38785659,13.74419631"
Nedvězí,Svitavy,Nedvězí; Nedvězím,"49.63062887,16.30093897"
Mezihoří,Klatovy,Mezihoří,"49.48850179,13.25460270"
Opatov,Svitavy,Opatově,"49.82502591,16.50463000"
Čímice,Klatovy,Čímicích,"49.25373603,13.60591278"
Frymburk,Klatovy,Frymburku; Frymburce,"49.24964884,13.70729659"
Jarov,Plzeň-jih,Jarově,"49.52118328,13.50762933"
Čmelíny,Plzeň-jih,Čmelínech,"49.48891179,13.65452589"
Polička,Svitavy,Poličce,"49.71467939,16.26547887"
Pomezí,Svitavy,Pomezí,"49.71029474,16.31733624"
Tojice,Plzeň-jih,Tojicích,"49.49257402,13.62655243"
Pustá Rybná,Svitavy,Pusté Rybné,"49.71006818,16.13609583"
Soběšovice,Frýdek-Místek,Soběšovicích,"49.72487222,18.46622917"
Klokočov,Havlíčkův Brod,Klokočově,"49.80338960,15.67322611"
Bezděkov,Rokycany,Bezděkově,"49.82437834,13.59659330"
Chomle,Rokycany,Chomli,"49.86236855,13.63456096"
Štíty,Šumperk,Štítech,"49.96124446,16.76581587"
Svojkovice,Rokycany,Svojkovicích,"49.75996235,13.64828141"
Nevid,Rokycany,Nevidě; Nevidu,"49.68554399,13.60568504"
Rybníky,Příbram,Rybníkách,"49.75272130,14.20595157"
Sedlčany,Příbram,Sedlčanech,"49.66064952,14.42668530"
Luběnice,Olomouc,Luběnicích,"49.57619004,17.12050689"
Budiměřice,Nymburk,Budiměřicích,"50.19538528,15.09883835"
Lipovice,Prachatice,Lipovicích,"49.10061804,13.99389557"
Činěves,Nymburk,Činěvsi,"50.23005285,15.21396380"
Dlouhopolsko,Nymburk,Dlouhopolsku,"50.17526759,15.30619887"
Dobšice,Nymburk,Dobšicích,"50.13249052,15.26868222"
Dvory,Nymburk,Dvorech,"50.21171137,14.99552824"
Kratušín,Prachatice,Kratušíně,"49.02034115,13.92851960"
Dvory,Prachatice,Dvorech,"49.03948297,13.94616684"
Drslavice,Prachatice,Drslavicích,"49.02541161,13.92077661"
Zábrdí,Prachatice,Zábrdí,"49.02805241,13.93942762"
Chrást,Nymburk,Chrástu,"50.11898044,14.89820150"
Jíkev,Nymburk,Jíkvi,"50.26442508,15.06009562"
Jizbice,Nymburk,Jizbici; Jizbicích,"50.25774274,14.99393220"
Kněžice,Nymburk,Kněžicích,"50.25726506,15.33543720"
Lužice,Prachatice,Lužicích,"49.03137671,14.20494800"
Kovanice,Nymburk,Kovanicích,"50.16952625,15.07086885"
Mahouš,Prachatice,Mahouši,"49.04792621,14.25597341"
Loučeň,Nymburk,Loučni,"50.28543008,15.02057001"
Křelovice,Pelhřimov,Křelovicích,"49.53691244,15.16861205"
Křešín,Pelhřimov,Křešíně,"49.58178487,15.04375601"
Kaničky,Domažlice,Kaničkách,"49.47464985,13.14554697"
Kdyně,Domažlice,Kdyni,"49.39087818,13.03971040"
Kout na Šumavě,Domažlice,Koutě na Šumavě; Koutu na Šumavě,"49.40266032,13.00211963"
Kvíčovice,Domažlice,Kvíčovicích,"49.59032158,13.07299482"
Libkov,Domažlice,Libkově,"49.36629345,13.13439576"
Loučim,Domažlice,Loučimi,"49.36716735,13.11214673"
Louka,Blansko,Louce,"49.52919965,16.43107911"
Ústup,Blansko,Ústupu,"49.56495723,16.46294951"
Luženičky,Domažlice,Luženičkách,"49.45891545,12.89761334"
Mrákov,Domažlice,Mrákově,"49.40325349,12.95123745"
Mutěnín,Domažlice,Mutěníně,"49.54486275,12.74460213"
Neuměř,Domažlice,Neuměři,"49.59769073,13.06418407"
Nevolice,Domažlice,Nevolicích,"49.42050961,12.93326796"
Rybník,Domažlice,Rybníce; Rybníku,"49.51287860,12.67679294"
Spáňov,Domažlice,Spáňově,"49.41462519,12.98734227"
Újezd,Domažlice,Újezdě; Újezdu,"49.43564517,12.86959568"
Vidice,Domažlice,Vidicích,"49.61386675,12.83555800"
Všeruby,Domažlice,Všerubech,"49.34082998,12.98326233"
Ždánov,Domažlice,Ždánově,"49.46103240,12.85444510"
Cheb,Cheb,Chebu,"50.07975917,12.37399559"
Aš,Cheb,Aši,"50.22399601,12.19507430"
Lázně Kynžvart,Cheb,Lázních Kynžvartě; Lázních Kynžvartu,"50.01069931,12.62480695"
Luby,Cheb,Lubech,"50.25260192,12.40602971"
Měrotín,Olomouc,Měrotíně,"49.69248926,17.00175370"
Krátká Ves,Havlíčkův Brod,Krátké Vsi,"49.62578385,15.68455416"
Květinov,Havlíčkův Brod,Květinově,"49.56470210,15.50734463"
Kynice,Havlíčkův Brod,Kynicích,"49.73923477,15.36018875"
Buřenice,Pelhřimov,Buřenicích,"49.55277462,15.06626460"
Chyšná,Pelhřimov,Chyšné,"49.58642665,15.09996669"
Chýstovice,Pelhřimov,Chýstovicích,"49.58574080,15.07960391"
Těchobuz,Pelhřimov,Těchobuzi,"49.51015113,14.93067194"
Zhořec,Pelhřimov,Zhořci,"49.48970306,14.96248856"
Polesí,Pelhřimov,Polesí,"49.29316255,15.24652085"
Stojčín,Pelhřimov,Stojčíně,"49.23773839,15.22191986"
Probulov,Písek,Probulově,"49.49287398,14.14516742"
Přeborov,Písek,Přeborově,"49.47955307,14.35717381"
Horosedly,Písek,Horosedlech; Horosedlích,"49.51287661,14.05404061"
Dubá,Česká Lípa,Dubé,"50.54041319,14.54033060"
Kožlí,Písek,Kožlí,"49.51585344,14.14669321"
Budkov,Prachatice,Budkově,"49.07013931,14.00698749"
Lčovice,Prachatice,Lčovicích,"49.11462478,13.85062725"
Křišťanov,Prachatice,Křišťanově,"48.90922311,14.02003748"
Hájek,Strakonice,Hájku,"49.11117133,14.06117245"
Člunek,Jindřichův Hradec,Člunku,"49.11150602,15.12677360"
Krtov,Tábor,Krtově,"49.34851829,14.83250901"
Domašín,Chomutov,Domašíně,"50.42080172,13.17229041"
Chbany,Chomutov,Chbanech,"50.33287159,13.43046185"
Jirkov,Chomutov,Jirkově,"50.49989057,13.44778630"
Mcely,Nymburk,Mcelích,"50.29431518,15.07595827"
Městec Králové,Nymburk,Městci Králové,"50.20723565,15.29765721"
Bohunice,Prachatice,Bohunicích,"49.13247908,13.97320305"
Újezdec,Prachatice,Újezdci,"49.10799159,13.96399033"
Pěčnov,Prachatice,Pěčnově,"49.05319172,13.94204401"
Okřínek,Nymburk,Okřínku,"50.16434797,15.19239665"
Střítež,Pelhřimov,Stříteži,"49.36397321,15.12654503"
Pečky,Kolín,Pečkách,"50.09048731,15.03023864"
Písty,Nymburk,Pístech,"50.16460685,15.00133230"
Ondřejov,Pelhřimov,Ondřejově,"49.39299971,15.17798874"
Leština,Šumperk,Leštině,"49.86880289,16.92753427"
Rožďalovice,Nymburk,Rožďalovicích,"50.30482175,15.16969916"
Sloveč,Nymburk,Sloveči,"50.22990189,15.32686323"
Krchleby,Rychnov nad Kněžnou,Krchlebech,"50.07914160,16.23459278"
Polom,Rychnov nad Kněžnou,Polomi,"50.05897137,16.30671592"
Salačova Lhota,Pelhřimov,Salačově Lhotě,"49.52409790,14.98026345"
Proruby,Rychnov nad Kněžnou,Prorubech,"50.07061286,16.29541143"
Jahodov,Rychnov nad Kněžnou,Jahodově,"50.15029732,16.33350143"
Lampertice,Trutnov,Lamperticích,"50.66462393,15.95106250"
Stanovice,Trutnov,Stanovicích,"50.40065142,15.87148086"
Borovnička,Trutnov,Borovničce,"50.50091073,15.66729856"
Zábřezí-Řečice,Trutnov,Zábřezí-Řečici,"50.41094543,15.73629984"
Petrovičky,Jičín,Petrovičkách,"50.29903208,15.60742683"
Rokytňany,Jičín,Rokytňanech,"50.37749190,15.12844904"
Ohaveč,Jičín,Ohavči,"50.44965366,15.30875305"
Kostelec,Jičín,Kostelci,"50.38129795,15.32735610"
Borek,Jičín,Borku,"50.43890885,15.65432781"
Vřesník,Jičín,Vřesníku; Vřesníce,"50.43805219,15.62824521"
Mnichov,Cheb,Mnichově; Mnichovu,"50.03698381,12.78699913"
Hradce,České Budějovice,Hradcích,"48.93399180,14.35963480"
Libčice nad Vltavou,Praha-západ,Libčicích nad Vltavou,"50.19910280,14.36275313"
Zádub-Závišín,Cheb,Zádubu-Závišíně,"49.97109196,12.74342413"
Okrouhlo,Praha-západ,Okrouhle,"49.91889596,14.44737190"
Odrava,Cheb,Odravě,"50.10317920,12.48420749"
Pohoří,Praha-západ,Pohoří,"49.89999148,14.52507844"
Průhonice,Praha-západ,Průhonicích,"50.00178457,14.56036552"
Středokluky,Praha-západ,Středoklukách,"50.13226378,14.23426616"
Měcholupy,Plzeň-jih,Měcholupech,"49.51958213,13.53268911"
Oplot,Plzeň-jih,Oplotě,"49.57995622,13.27427055"
Zvole,Praha-západ,Zvoli,"49.93473770,14.41775171"
Skašov,Plzeň-jih,Skašově,"49.51055935,13.43143091"
Libina,Šumperk,Libině,"49.87644485,17.08276644"
Buková u Příbramě,Příbram,Bukové u Příbramě,"49.75521832,14.06662921"
Lisov,Plzeň-jih,Lisově,"49.63863652,13.10090343"
Klášterec nad Ohří,Chomutov,Klášterci nad Ohří,"50.38455682,13.17136811"
Třebějice,Tábor,Třebějicích,"49.24449192,14.81980025"
Svrabov,Tábor,Svrabově,"49.44754387,14.62657373"
Radimovice u Tábora,Tábor,Radimovicích u Tábora,"49.45738647,14.63905608"
Mašťov,Chomutov,Mašťově,"50.26237638,13.28054150"
Měděnec,Chomutov,Měděnci,"50.42171933,13.11551820"
Místo,Chomutov,Místě,"50.44714962,13.26739857"
Balkova Lhota,Tábor,Balkově Lhotě,"49.45209316,14.60825005"
Okounov,Chomutov,Okounově,"50.36232404,13.10665283"
Otvice,Chomutov,Otvicích,"50.48091343,13.45079153"
Pětipsy,Chomutov,Pětipsech; Pětipsích,"50.32121130,13.34979708"
Radonice,Chomutov,Radonicích,"50.29813304,13.28472828"
Psárov,Tábor,Psárově,"49.31896672,14.90551324"
Údlice,Chomutov,Údlicích,"50.44069622,13.45747127"
Veliká Ves,Chomutov,Veliké Vsi,"50.26976312,13.37470079"
Vlčeves,Tábor,Vlčevsi,"49.35709262,14.90053334"
Všehrdy,Chomutov,Všehrdech,"50.42003675,13.46132104"
Výsluní,Chomutov,Výsluní,"50.46658459,13.23749037"
Libějice,Tábor,Libějicích,"49.37691604,14.62387919"
Jílové u Držkova,Jablonec nad Nisou,Jílovém u Držkova,"50.67091661,15.29537011"
Dlouhá Lhota,Tábor,Dlouhé Lhotě,"49.35258439,14.78897802"
Loužnice,Jablonec nad Nisou,Loužnici,"50.67970124,15.26779495"
Lučany nad Nisou,Jablonec nad Nisou,Lučanech nad Nisou,"50.74141014,15.22056991"
Malá Skála,Jablonec nad Nisou,Malé Skále,"50.64636304,15.19552688"
Nová Ves nad Nisou,Jablonec nad Nisou,Nové Vsi nad Nisou,"50.72519510,15.21475557"
Plavy,Jablonec nad Nisou,Plavech,"50.70329039,15.31746741"
Hanušovice,Šumperk,Hanušovicích,"50.08050217,16.93647369"
Březina,Mladá Boleslav,Březině,"50.54860661,15.03288944"
Habří,České Budějovice,Habří,"48.94822487,14.33485501"
Choteč,Jičín,Chotči,"50.43290684,15.51601809"
Březina,Jičín,Březině,"50.43434756,15.31334945"
Dolní Lochov,Jičín,Dolním Lochově,"50.45268417,15.28655813"
Dílce,Jičín,Dílcích,"50.46724636,15.35941842"
Vojslavice,Pelhřimov,Vojslavicích,"49.59316057,15.22900612"
Jinolice,Jičín,Jinolici; Jinolicích,"50.47878114,15.32980278"
Kbelnice,Jičín,Kbelnici,"50.45488233,15.35069611"
Zachotín,Pelhřimov,Zachotíně,"49.46238779,15.34791698"
Ohařice,Jičín,Ohařicích,"50.45435151,15.25851174"
Chyjice,Jičín,Chyjicích,"50.38768902,15.29554960"
Žirovnice,Pelhřimov,Žirovnici,"49.25324224,15.18826041"
Bernartice,Písek,Bernarticích,"49.36897307,14.38104485"
Mezná,Pelhřimov,Mezné,"49.34708776,15.21140874"
Důl,Pelhřimov,Dole; Dolu,"49.45215224,15.03011558"
Okrouhlá,Písek,Okrouhlé,"49.41370641,14.36434122"
Nicov,Prachatice,Nicově,"49.12552802,13.62047635"
Vrbice,Prachatice,Vrbici,"49.14137176,13.71580784"
Kondrac,Benešov,Kondraci,"49.66721162,14.88455091"
Mezouň,Beroun,Mezouni,"50.00435474,14.21423575"
Tuhaň,Mělník,Tuhani,"50.29545379,14.51735760"
Neumětely,Beroun,Neumětelech; Neumětelích,"49.85254207,14.03666665"
Osek,Beroun,Oseku,"49.81972738,13.85857614"
Lobeč,Mělník,Lobči,"50.46053354,14.66686556"
Podluhy,Beroun,Podluhách; Podluzích,"49.81570681,13.91357859"
Rpety,Beroun,Rpetech,"49.82835819,13.93854506"
Skuhrov,Beroun,Skuhrově,"49.87339797,14.14678123"
Stašov,Beroun,Stašově,"49.88342812,13.95758291"
Tachlovice,Praha-západ,Tachlovicích,"50.01453128,14.24074773"
Teplá,Cheb,Teplé,"49.98195531,12.86311392"
Útvina,Karlovy Vary,Útvině,"50.07084722,12.95481038"
Valeč,Karlovy Vary,Valči,"50.17423415,13.25464113"
Verušičky,Karlovy Vary,Verušičkách,"50.14164254,13.17435342"
Prášily,Klatovy,Prášilech,"49.10523457,13.37796122"
Hřebeč,Kladno,Hřebči,"50.13603152,14.16453724"
Snět,Benešov,Snětě,"49.62650160,15.22686041"
Šetějovice,Benešov,Šetějovicích,"49.64523294,15.22252301"
Kvílice,Kladno,Kvílicích,"50.25813578,14.00240044"
Tomice,Benešov,Tomicích,"49.64510060,15.15713721"
Ratměřice,Benešov,Ratměřicích,"49.64332170,14.75621694"
Bernartice,Benešov,Bernarticích,"49.67562468,15.12919049"
Tisem,Benešov,Tismi,"49.75570549,14.60800768"
Choratice,Benešov,Choraticích,"49.83939342,14.87474119"
Vodslivy,Benešov,Vodslivech,"49.84961425,14.83724865"
Neuměřice,Kladno,Neuměřicích,"50.24175734,14.22006875"
Pletený Újezd,Kladno,Pleteném Újezdu; Pleteném Újezdě,"50.10941188,14.11614215"
Děkanovice,Benešov,Děkanovicích,"49.61874701,15.14858375"
Pozdeň,Kladno,Pozdni,"50.24213902,13.94362655"
Slaný,Kladno,Slaném,"50.23054117,14.08701427"
Dunice,Benešov,Dunicích,"49.60320549,15.15268379"
Chleby,Benešov,Chlebech,"49.82707582,14.55693570"
Šlapanice,Kladno,Šlapanicích,"50.31475106,14.11129413"
Zvíkov,České Budějovice,Zvíkově,"48.98091690,14.61693095"
Bukovno,Mladá Boleslav,Bukovně,"50.44682653,14.84066954"
Doubravice,České Budějovice,Doubravici,"48.93587223,14.51072956"
Dobrovice,Mladá Boleslav,Dobrovici,"50.36938823,14.96241829"
Borovnice,České Budějovice,Borovnici,"48.91214796,14.51899505"
Petříkov,České Budějovice,Petříkově,"48.84704159,14.75461055"
Dubičné,České Budějovice,Dubičném,"48.98114694,14.53877248"
Adamov,České Budějovice,Adamově,"49.00059674,14.53951255"
Hlavatce,České Budějovice,Hlavatcích,"49.06738317,14.26319267"
Komařice,České Budějovice,Komařicích,"48.87852213,14.54566767"
Vlkov,České Budějovice,Vlkově,"49.11341752,14.52217831"
Drahotěšice,České Budějovice,Drahotěšicích,"49.12440913,14.54659799"
Jivina,Mladá Boleslav,Jivině,"50.55417883,14.94725181"
Pištín,České Budějovice,Pištíně,"49.04595095,14.33517106"
Katusice,Mladá Boleslav,Katusicích,"50.44516805,14.77744635"
Kněžmost,Mladá Boleslav,Kněžmostě; Kněžmostu,"50.48923342,15.03838101"
Břehov,České Budějovice,Břehově,"49.02236497,14.33057947"
Hynčina,Šumperk,Hynčině,"49.84853212,16.79324603"
Kosořice,Mladá Boleslav,Kosořicích,"50.33344129,14.96971659"
Javorník,Jeseník,Javorníku; Javorníce,"50.39078589,17.00279860"
Krásná Ves,Mladá Boleslav,Krásné Vsi,"50.42474496,14.79222241"
Dobšice,České Budějovice,Dobšicích,"49.21597521,14.48380517"
Ledce,Mladá Boleslav,Ledcích,"50.35599545,15.08208546"
Lhotky,Mladá Boleslav,Lhotkách,"50.39636095,15.05293614"
Zvíkov,Český Krumlov,Zvíkově,"48.80260782,14.44876109"
Mrzky,Kolín,Mrzkách,"50.04468660,14.81008799"
Pašinka,Kolín,Pašince,"49.99640907,15.18625563"
Trubská,Beroun,Trubské,"49.95496082,13.99351127"
Vidim,Mělník,Vidimi,"50.46792264,14.52591718"
Zadní Třebaň,Beroun,Zadní Třebani,"49.91810059,14.20814301"
Chrášťany,Benešov,Chrášťanech,"49.79212465,14.58198018"
Chlístov,Benešov,Chlístově,"49.80159278,14.65477104"
Běloky,Kladno,Bělokách,"50.13151563,14.22082774"
Beřovice,Kladno,Beřovicích,"50.26909712,14.12363240"
Borovnice,Benešov,Borovnici,"49.64879575,15.01837845"
Ješetice,Benešov,Ješeticích,"49.58123235,14.61016505"
Buštěhrad,Kladno,Buštěhradě; Buštěhradu,"50.15602027,14.18904960"
Černuc,Kladno,Černuci,"50.30122117,14.20257750"
Litichovice,Benešov,Litichovicích,"49.78299802,14.85062531"
Všechlapy,Benešov,Všechlapech,"49.77908843,14.91428824"
Dřetovice,Kladno,Dřetovicích,"50.18276559,14.21033642"
Dráchov,Tábor,Dráchově,"49.22650659,14.70664370"
Dražice,Tábor,Dražicích,"49.42932329,14.58998178"
Dražičky,Tábor,Dražičkách,"49.39910049,14.59874843"
Hlavatce,Tábor,Hlavatcích,"49.29556712,14.62123806"
Bukovany,Olomouc,Bukovanech,"49.60527042,17.34352323"
Chotěmice,Tábor,Chotěmicích,"49.27528829,14.87695782"
Chýnov,Tábor,Chýnově,"49.40683787,14.81124750"
Nižní Lhoty,Frýdek-Místek,Nižních Lhotách,"49.64610107,18.43679360"
Dobratice,Frýdek-Místek,Dobraticích,"49.66037349,18.49229837"
Dolní Hbity,Příbram,Dolních Hbitech,"49.65753581,14.16987673"
Krásná,Frýdek-Místek,Krásné,"49.58118604,18.47691532"
Bořenovice,Kroměříž,Bořenovicích,"49.36152296,17.56438541"
Ostrovec,Písek,Ostrovci,"49.42075063,14.11712163"
Podolí I,Písek,Podolí I,"49.36124018,14.31195010"
Pikárec,Žďár nad Sázavou,Pikárci,"49.43244325,16.12241673"
Ubušínek,Žďár nad Sázavou,Ubušínku,"49.61051510,16.28172856"
Vrcovice,Písek,Vrcovicích,"49.34473602,14.17445490"
Zbelítov,Písek,Zbelítově,"49.45670994,14.32910433"
Zběšičky,Písek,Zběšičkách,"49.39257800,14.42650190"
Zhoř,Písek,Zhoři,"49.50128951,14.38272910"
Prachatice,Prachatice,Prachaticích,"49.01301337,13.99753300"
Medlovice,Vyškov,Medlovicích,"49.27442579,17.09296061"
Bušanovice,Prachatice,Bušanovicích,"49.11552564,13.93470352"
Čkyně,Prachatice,Čkyni,"49.11512045,13.82907645"
Horní Vltavice,Prachatice,Horní Vltavici,"48.95713735,13.75870587"
Hracholusky,Prachatice,Hracholuskách,"49.05888123,14.08854988"
Kašnice,Břeclav,Kašnici,"48.99645819,16.88284254"
Kuroslepy,Třebíč,Kuroslepech; Kuroslepích,"49.15436821,16.21012800"
Vysoký Újezd,Benešov,Vysokém Újezdě; Vysokém Újezdu,"49.81335693,14.47637172"
Dlouhá Lhota,Příbram,Dlouhé Lhotě,"49.72120258,14.12064926"
Zlatá,Praha-východ,Zlaté,"50.04029751,14.71010898"
Nová Ves,Český Krumlov,Nové Vsi,"48.94839644,14.24716772"
Hranice,Přerov,Hranicích,"49.54796397,17.73472329"
Jindřichov,Přerov,Jindřichově,"49.64459357,17.74827351"
Kojetín,Přerov,Kojetíně,"49.35180387,17.30208903"
Kokory,Přerov,Kokorech,"49.49482431,17.37546861"
Nelešovice,Přerov,Nelešovicích,"49.51070329,17.38817894"
Oldřichov,Přerov,Oldřichově,"49.49746536,17.53924946"
Opatovice,Přerov,Opatovicích,"49.49919086,17.73920917"
Polom,Přerov,Polomi,"49.57464563,17.83886734"
Prosenice,Přerov,Prosenicích,"49.48881083,17.48420857"
Přestavlky,Přerov,Přestavlkách,"49.39025759,17.48154437"
Radslavice,Přerov,Radslavicích,"49.47817466,17.51658687"
Říkovice,Přerov,Říkovicích,"49.38155337,17.45125336"
Dolní Tošanovice,Frýdek-Místek,Dolních Tošanovicích,"49.68413964,18.48849396"
Malšice,Tábor,Malšicích,"49.36398435,14.57871472"
Křtomil,Přerov,Křtomili,"49.40909124,17.62624872"
Nahošovice,Přerov,Nahošovicích,"49.43772881,17.57813753"
Pojbuky,Tábor,Pojbukách,"49.49587073,14.89676609"
Radenín,Tábor,Radeníně,"49.36945102,14.84070909"
Radkov,Tábor,Radkově,"49.46586230,14.61118895"
Ratibořské Hory,Tábor,Ratibořských Horách,"49.46274411,14.76984222"
Proseč,Pelhřimov,Proseči,"49.60075847,15.32912338"
Stará Lysá,Nymburk,Staré Lysé,"50.22471371,14.79921830"
Straky,Nymburk,Strakách,"50.23364148,14.95931664"
Březová,Karlovy Vary,Březové,"50.19799071,12.87152324"
Komorní Lhotka,Frýdek-Místek,Komorní Lhotce,"49.65808580,18.52780627"
